x,relative_density,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV
182,0.0715884,58556.7,15853.7,74.8509,273.937,20.0798
183,0.0704698,58544.7,15897.6,74.8079,273.826,20.1913
184,0.0693512,58533,15940.9,74.7655,273.716,20.3012
185,0.0704698,58521,15984.8,74.7226,273.604,20.4132
186,0.0704698,58509,16028.7,74.6796,273.492,20.5255
187,0.0693512,58497.2,16071.8,74.6373,273.381,20.6362
188,0.0693512,58485.3,16115,74.595,273.27,20.7472
189,0.0693512,58473.4,16158.1,74.5528,273.159,20.8584
190,0.0693512,58461.4,16201.3,74.5105,273.047,20.9699
191,0.0682327,58449.7,16243.7,74.4689,272.937,21.0798
192,0.0693512,58437.7,16286.7,74.4267,272.825,21.1918
193,0.0682327,58425.9,16329.1,74.3851,272.715,21.3022
194,0.0682327,58414,16371.5,74.3436,272.604,21.4129
195,0.0682327,58402.1,16413.8,74.3021,272.493,21.5237
196,0.0682327,58390.2,16456.1,74.2605,272.382,21.6349
197,0.0682327,58378.3,16498.4,74.219,272.271,21.7463
198,0.0671141,58366.5,16540,74.1782,272.161,21.8561
199,0.0682327,58354.5,16582.3,74.1367,272.049,21.9679
200,0.0671141,58342.7,16623.9,74.0959,271.939,22.0782
201,0.0671141,58330.8,16665.4,74.0551,271.828,22.1887
202,0.0671141,58318.9,16706.9,74.0143,271.718,22.2994
203,0.0671141,58307,16748.5,73.9735,271.607,22.4103
204,0.0659955,58295.3,16789.3,73.9334,271.497,22.5197
205,0.0671141,58283.3,16830.7,73.8926,271.386,22.6311
206,0.0659955,58271.6,16871.5,73.8526,271.276,22.7408
207,0.0659955,58259.7,16912.3,73.8125,271.166,22.8508
208,0.0671141,58247.7,16953.7,73.7717,271.054,22.9629
209,0.064877,58236,16993.7,73.7324,270.946,23.0715
210,0.0659955,58224.1,17034.4,73.6923,270.835,23.1821
211,0.0659955,58212.2,17075.1,73.6523,270.724,23.293
212,0.064877,58200.5,17115.1,73.6129,270.615,23.4022
213,0.0659955,58188.5,17155.7,73.5729,270.504,23.5135
214,0.064877,58176.7,17195.7,73.5335,270.394,23.6231
215,0.064877,58164.9,17235.6,73.4942,270.284,23.733
216,0.064877,58153.1,17275.5,73.4549,270.174,23.843
217,0.064877,58141.2,17315.4,73.4156,270.064,23.9533
218,0.0637584,58129.5,17354.6,73.3769,269.955,24.0619
219,0.064877,58117.6,17394.5,73.3376,269.845,24.1725
220,0.0637584,58105.8,17433.7,73.299,269.736,24.2815
221,0.064877,58093.9,17473.5,73.2598,269.625,24.3926
222,0.0637584,58082.1,17512.6,73.2212,269.515,24.502
223,0.0637584,58070.3,17551.7,73.1826,269.406,24.6115
224,0.0637584,58058.5,17590.8,73.144,269.296,24.7213
225,0.0637584,58046.6,17629.9,73.1054,269.186,24.8313
226,0.0626398,58034.9,17668.3,73.0675,269.078,24.9395
227,0.0637584,58023,17707.4,73.029,268.967,25.0499
228,0.0626398,58011.3,17745.7,72.9911,268.859,25.1585
229,0.0637584,57999.4,17784.7,72.9525,268.748,25.2693
230,0.0626398,57987.6,17823,72.9147,268.639,25.3783
231,0.0626398,57975.8,17861.3,72.8768,268.53,25.4875
232,0.0626398,57964,17899.6,72.839,268.42,25.5969
233,0.0626398,57952.2,17937.9,72.8012,268.311,25.7065
234,0.0615213,57940.5,17975.5,72.764,268.203,25.8143
235,0.0626398,57928.6,18013.7,72.7262,268.093,25.9242
236,0.0615213,57916.9,18051.3,72.689,267.985,26.0324
237,0.0626398,57905,18089.5,72.6512,267.874,26.1427
238,0.0615213,57893.3,18127,72.6141,267.766,26.2513
239,0.0615213,57881.5,18164.5,72.577,267.657,26.36
240,0.0615213,57869.8,18202,72.5399,267.548,26.4689
241,0.0615213,57858,18239.4,72.5028,267.439,26.578
242,0.0615213,57846.1,18276.9,72.4657,267.33,26.6872
243,0.0604027,57834.5,18313.7,72.4293,267.222,26.7947
244,0.0615213,57822.7,18351.1,72.3922,267.113,26.9043
245,0.0604027,57811,18387.8,72.3558,267.005,27.0121
246,0.0615213,57799.1,18425.2,72.3188,266.895,27.1221
247,0.0604027,57787.4,18461.9,72.2824,266.787,27.2302
248,0.0604027,57775.6,18498.6,72.246,266.679,27.3385
249,0.0604027,57763.9,18535.2,72.2096,266.57,27.447
250,0.0604027,57752.1,18571.9,72.1733,266.461,27.5557
251,0.0604027,57740.3,18608.5,72.1369,266.353,27.6645
252,0.0592841,57728.7,18644.5,72.1013,266.246,27.7715
253,0.0604027,57716.9,18681.1,72.0649,266.136,27.8806
254,0.0592841,57705.2,18717,72.0293,266.029,27.9879
255,0.0604027,57693.4,18753.6,71.9929,265.92,28.0974
256,0.0592841,57681.7,18789.5,71.9573,265.812,28.2051
257,0.0592841,57670,18825.3,71.9217,265.704,28.3129
258,0.0592841,57658.3,18861.2,71.886,265.596,28.4208
259,0.0592841,57646.5,18897,71.8504,265.488,28.5289
260,0.0592841,57634.8,18932.9,71.8148,265.38,28.6372
261,0.0592841,57623,18968.7,71.7792,265.271,28.7456
262,0.0581655,57611.4,19003.8,71.7443,265.165,28.8522
263,0.0592841,57599.6,19039.6,71.7087,265.056,28.961
264,0.0592841,57587.8,19075.3,71.6731,264.947,29.0699
265,0.0581655,57576.2,19110.4,71.6382,264.84,29.1769
266,0.0581655,57564.5,19145.5,71.6033,264.733,29.2841
267,0.0581655,57552.8,19180.5,71.5684,264.626,29.3914
268,0.0581655,57541.1,19215.6,71.5335,264.518,29.4989
269,0.0581655,57529.4,19250.6,71.4986,264.411,29.6065
270,0.0581655,57517.7,19285.6,71.4638,264.303,29.7143
271,0.0581655,57506,19320.6,71.4289,264.195,29.8222
272,0.0581655,57494.2,19355.6,71.3941,264.087,29.9303
273,0.057047,57482.6,19389.9,71.3599,263.981,30.0364
274,0.0581655,57470.8,19424.8,71.325,263.872,30.1448
275,0.057047,57459.2,19459.1,71.2909,263.766,30.2513
276,0.0581655,57447.4,19494,71.256,263.657,30.3599
277,0.057047,57435.8,19528.2,71.2219,263.55,30.4667
278,0.057047,57424.1,19562.5,71.1878,263.444,30.5736
279,0.057047,57412.5,19596.7,71.1536,263.337,30.6806
280,0.057047,57400.8,19630.9,71.1195,263.229,30.7878
281,0.057047,57389.1,19665.1,71.0854,263.122,30.8951
282,0.057047,57377.4,19699.2,71.0512,263.015,31.0025
283,0.057047,57365.6,19733.4,71.0171,262.907,31.1101
284,0.0559284,57354.1,19766.8,70.9837,262.801,31.2157
285,0.057047,57342.3,19801,70.9496,262.694,31.3236
286,0.0559284,57330.8,19834.4,70.9162,262.588,31.4295
287,0.057047,57319,19868.5,70.8821,262.479,31.5377
288,0.0559284,57307.4,19901.9,70.8487,262.373,31.6438
289,0.0559284,57295.8,19935.3,70.8153,262.267,31.7501
290,0.0559284,57284.1,19968.7,70.7819,262.161,31.8566
291,0.0559284,57272.5,20002.1,70.7485,262.054,31.9632
292,0.0559284,57260.8,20035.5,70.7151,261.947,32.0699
293,0.0559284,57249.1,20068.8,70.6818,261.84,32.1767
294,0.0559284,57237.4,20102.1,70.6484,261.733,32.2837
295,0.0559284,57225.7,20135.5,70.6151,261.626,32.3908
296,0.0548098,57214.2,20168.1,70.5824,261.521,32.4959
297,0.0559284,57202.5,20201.4,70.549,261.414,32.6033
298,0.0548098,57191,20234,70.5164,261.308,32.7087
299,0.0559284,57179.2,20267.3,70.483,261.201,32.8163
300,0.0548098,57167.6,20299.9,70.4504,261.095,32.9219
301,0.0548098,57156,20332.4,70.4177,260.989,33.0277
302,0.0548098,57144.4,20365,70.3851,260.884,33.1335
303,0.0548098,57132.8,20397.6,70.3524,260.778,33.2395
304,0.0548098,57121.2,20430.1,70.3198,260.671,33.3457
305,0.0548098,57109.6,20462.6,70.2872,260.565,33.4519
306,0.0548098,57097.9,20495.1,70.2546,260.459,33.5583
307,0.0548098,57086.2,20527.6,70.2219,260.352,33.6648
