time,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV
270.699,4550.16,60493.9,4.30151,1.65406,292.363
270.71,4549.54,60494,4.30092,1.65362,292.363
270.721,4548.93,60494,4.30034,1.65317,292.364
270.732,4548.31,60494.1,4.29976,1.65272,292.364
270.743,4547.7,60494.1,4.29917,1.65227,292.365
270.754,4547.08,60494.2,4.29859,1.65183,292.365
270.765,4546.47,60494.2,4.29801,1.65138,292.366
270.776,4545.85,60494.3,4.29742,1.65093,292.366
270.787,4545.24,60494.3,4.29684,1.65048,292.367
270.798,4544.62,60494.4,4.29626,1.65004,292.367
270.809,4544,60494.4,4.29567,1.64959,292.368
270.82,4543.39,60494.5,4.29509,1.64914,292.368
270.831,4542.77,60494.5,4.29451,1.6487,292.368
270.842,4542.16,60494.5,4.29393,1.64825,292.369
270.853,4541.54,60494.6,4.29334,1.6478,292.369
270.864,4540.93,60494.6,4.29276,1.64736,292.37
270.875,4540.31,60494.7,4.29218,1.64691,292.37
270.886,4539.7,60494.7,4.2916,1.64647,292.371
270.897,4539.09,60494.8,4.29102,1.64602,292.371
270.908,4538.47,60494.8,4.29043,1.64558,292.372
270.919,4537.86,60494.9,4.28985,1.64513,292.372
270.93,4537.24,60494.9,4.28927,1.64468,292.372
270.941,4536.63,60495,4.28869,1.64424,292.373
270.952,4536.01,60495,4.28811,1.64379,292.373
270.963,4535.4,60495.1,4.28752,1.64335,292.374
270.974,4534.79,60495.1,4.28694,1.6429,292.374
270.985,4534.17,60495.1,4.28636,1.64246,292.375
270.996,4533.56,60495.2,4.28578,1.64201,292.375
271.007,4532.94,60495.2,4.2852,1.64157,292.376
271.018,4532.33,60495.3,4.28462,1.64113,292.376
271.029,4531.72,60495.3,4.28404,1.64068,292.376
271.04,4531.1,60495.4,4.28346,1.64024,292.377
271.051,4530.49,60495.4,4.28287,1.63979,292.377
271.062,4529.88,60495.5,4.28229,1.63935,292.378
271.073,4529.26,60495.5,4.28171,1.63891,292.378
271.084,4528.65,60495.6,4.28113,1.63846,292.379
271.095,4528.04,60495.6,4.28055,1.63802,292.379
